Appliance,Voltage (V),Power Consumption (W),Daily Usage (hrs),Monthly Usage (%),Daily Energy Consumption (Wh)
Fan,230,-0.9057783145242094,0.3445596982998423,19.02,-0.31209470277900125
Air Conditioner,230,0.8017316145144707,-0.19092173818239006,40.17,-0.15306799339887664
Refrigerator,230,-0.7726581821336693,2.6051673457182374,8.23,-2.0129038654966496
LED Bulb,230,-0.9807816378819988,0.33043090050347734,7.15,-0.3240805598026243
Television,230,-0.8869651509137636,-0.3491642735016777,4.35,0.3096965425401102
Washing Machine,230,-0.12066873072081534,-0.5865280764806092,3.28,0.07077559852103642
Microwave Oven,230,0.006082125796790759,-0.7532478904777158,2.06,-0.0045813484260527355
Geyser,230,2.351732297855575,-0.645869027225342,8.95,-1.5189110515103985
Laptop/Computer,230,-0.5546408156432198,-0.04963376021874037,2.48,0.027528909251162154
Iron,230,0.5043816303896113,-0.7617251691555349,2.05,-0.38420018272747114
Fan,230,-0.9176555407071897,0.249896753064197,22.7,-0.22931914005409676
Air Conditioner,230,1.1180080945606825,-0.15983838303038717,43.03,-0.1787006060494637
Refrigerator,230,-0.35619593924628834,2.6051673457182374,8.75,-0.9279500296018676
LED Bulb,230,-0.9899955547586812,-0.21070205509730097,9.74,0.20859409792484668
Television,230,-0.8478201707267276,-0.11462623008201922,3.01,0.09718242995789869
Washing Machine,230,0.05373836253288991,-0.6176114316326121,4.22,-0.033189427017530464
Microwave Oven,230,0.2906142255581478,-0.7546607702573523,2.63,-0.21931515530745577
Geyser,230,1.5667360463630873,-0.6783652621569816,8.66,-1.0628193088218885
Laptop/Computer,230,-0.7319492160561263,-0.14005806611547614,2.09,0.10251539169555986
Iron,230,0.37849209943489287,-0.7546607702573523,2.72,-0.28563313929585865
Fan,230,-0.9053136520494937,0.15805956738782465,20.64,-0.1430934841932346
Air Conditioner,230,1.2484309179516528,-0.12592926831911122,42.36,-0.157213992044608
Refrigerator,230,-0.7105407425259262,2.6051673457182374,9.74,-1.8510775402309327
LED Bulb,230,-0.98745691099438,-0.1103875907431097,8.83,0.10900298936730293
Television,230,-0.9243421470506614,-0.20787629553802806,4.76,0.19214882133855868
Washing Machine,230,-0.05907261974324119,-0.6388046283271596,4.49,0.03773586289939282
Microwave Oven,230,0.1311556641129836,-0.7588994095962618,2.55,-0.09953395606054888
Geyser,230,1.7485550727500643,-0.6599978250217071,8.57,-1.1540425449457152
Laptop/Computer,230,-0.8206430825713968,-0.0538723995576499,2.94,0.044210012038507766
Iron,230,0.62362988792522,-0.7574865298166253,2.7,-0.4723912396944059
Fan,230,-0.9143349039976352,0.2301164361492861,18.84,-0.21040348955483545
Air Conditioner,230,1.087113706607625,-0.004421607270372428,41.18,-0.0048067898688577936
Refrigerator,230,-0.3465173598948902,2.6051673457182374,8.4,-0.9027357107226622
LED Bulb,230,-0.982492955776684,0.30499906447002034,8.61,-0.2996594323602737
Television,230,-0.8886651355773582,-0.1626641425896601,3.79,0.14455395232801502
Washing Machine,230,0.08099478330585504,-0.5639220000064252,4.81,-0.045674740191924794
Microwave Oven,230,-0.06139593211682042,-0.7631380489351713,2.26,0.04685357184818656
Geyser,230,1.2936051770789039,-0.645869027225342,9.03,-0.8354995173336179
Laptop/Computer,230,-0.5751652971483507,-0.03126632308346593,2.62,0.017983304007038018
Iron,230,0.19821439247624134,-0.7560736500369889,2.9,-0.14986467920937607
Fan,230,-0.9109576011326275,0.23294219570855904,16.93,-0.21220046380523597
Air Conditioner,230,0.8876148397192649,-0.05952391867619589,49.63,-0.05283431353523418
Refrigerator,230,-0.35030265907916064,2.6051673457182374,9.14,-0.9125970485512975
LED Bulb,230,-0.9871282472927516,0.05209358391508737,6.15,-0.051423048185298074
Television,230,-0.8565014257421502,-0.1895088584027536,3.95,0.16231460741272571
Washing Machine,230,-0.3346401337119099,-0.5879409562602458,3.37,0.19674864021763683
Microwave Oven,230,0.13922492464951217,-0.7617251691555349,2.94,-0.10605112927931626
Geyser,230,1.6443346796406306,-0.713687256647894,9.75,-1.1735407065237153
Laptop/Computer,230,-0.861590046501843,-0.1315807874376572,2.71,0.11336869676716019
Iron,230,0.6795820498196605,-0.7574865298166253,2.52,-0.5147742486435637
Fan,230,-0.9194235247573279,0.19055580231946415,19.08,-0.17520148743152233
Air Conditioner,230,1.0377914849012033,-0.16690278192856964,47.96,-0.17321028589179202
Refrigerator,230,-0.7787894601537002,2.6051673457182374,9.18,-2.028876870781954
LED Bulb,230,-0.9902675523048562,-0.1004974322856543,7.81,0.09951934628243791
Television,230,-0.892495767685991,-0.18103157972493455,4.94,0.16156991872201315
Washing Machine,230,-0.026160916656051678,-0.5526189617693333,3.66,0.014457018601401337
Microwave Oven,230,-0.04626606861082933,-0.7560736500369889,2.21,0.034980555367451496
Geyser,230,1.3601879097363552,-0.674126622818072,8.65,-0.9169388819885417
Laptop/Computer,230,-0.8904217863964059,-0.05669815911692283,2.47,0.050485276126278095
Iron,230,0.44951745867987125,-0.7588994095962618,2.74,-0.3411385339953663
Fan,230,-0.915592892648695,0.2979346655718379,20.35,-0.27278686227124066
Air Conditioner,230,0.8135295080798167,-0.0736527164725608,40.5,-0.0599186582006646
Refrigerator,230,-0.1888154492687736,2.6051673457182374,9.18,-0.49189584280212745
LED Bulb,230,-0.9908455470904785,0.018184469203811546,8.77,-0.018018000336800608
Television,230,-0.8299136656035322,-0.25591420804566894,3.24,0.21238669847920608
Washing Machine,230,0.05271837173473323,-0.5497932022100603,4.54,-0.028984202411339317
Microwave Oven,230,0.05814698942714497,-0.7518350106980793,2.39,-0.04371694241801864
Geyser,230,2.386117320984547,-0.6486947867846151,9.4,-1.5478618667791477
Laptop/Computer,230,-0.7468637481713954,0.023835988322357535,2.85,-0.01780223557980556
Iron,230,0.6443697008210731,-0.7560736500369889,2.07,-0.4871909516730313
Fan,230,-0.9188568632027965,0.2640255508605619,21.07,-0.2426016894691263
Air Conditioner,230,1.1286953314791466,-0.004421607270372428,40.69,-0.004990647483703612
Refrigerator,230,-0.7181793402810109,2.6051673457182374,8.2,-1.870977365669556
LED Bulb,230,-0.9880462390110928,-0.03691784220201192,7.4,0.03647653514010288
Television,230,-0.8646386856652226,-0.11321335030238276,3.74,0.09788864240520867
Washing Machine,230,0.13262898415476546,-0.5879409562602458,4.22,-0.0779780117717778
Microwave Oven,230,-0.029708217987418867,-0.7631380489351713,2.49,0.022671471512259598
Geyser,230,3.2227931062503075,-0.5851151967009727,8.61,-1.8857052222901873
Laptop/Computer,230,-0.7885247056605513,-0.20081189663984558,2.12,0.1583451416910713
Iron,230,0.6182466031571707,-0.7603122893758983,2.37,-0.470060490245301
Fan,230,-0.9020043485710296,0.28239298799583634,18.79,-0.25471970317821097
