Appliance,Voltage (V),Power Consumption (W),Daily Usage (hrs),Monthly Usage (%)
Fan,230,82.12,8.0,19.02
Air Conditioner,230,1588.76,4.21,40.17
Refrigerator,230,199.58,24.0,8.23
LED Bulb,230,15.94,7.9,7.15
Television,230,98.72,3.09,4.35
Washing Machine,230,774.87,1.41,3.28
Microwave Oven,230,886.71,0.23,2.06
Geyser,230,2956.42,0.99,8.95
Laptop/Computer,230,391.95,5.21,2.48
Iron,230,1326.39,0.17,2.05
Fan,230,71.64,7.33,22.7
Air Conditioner,230,1867.83,4.43,43.03
Refrigerator,230,567.05,24.0,8.75
LED Bulb,230,7.81,4.07,9.74
Television,230,133.26,4.75,3.01
Washing Machine,230,928.76,1.19,4.22
Microwave Oven,230,1137.77,0.22,2.63
Geyser,230,2263.77,0.76,8.66
Laptop/Computer,230,235.5,4.57,2.09
Iron,230,1215.31,0.22,2.72
Fan,230,82.53,6.68,20.64
Air Conditioner,230,1982.91,4.67,42.36
Refrigerator,230,254.39,24.0,9.74
LED Bulb,230,10.05,4.78,8.83
Television,230,65.74,4.09,4.76
Washing Machine,230,829.22,1.04,4.49
Microwave Oven,230,997.07,0.19,2.55
Geyser,230,2424.2,0.89,8.57
Laptop/Computer,230,157.24,5.18,2.94
Iron,230,1431.61,0.2,2.7
Fan,230,74.57,7.19,18.84
Air Conditioner,230,1840.57,5.53,41.18
Refrigerator,230,575.59,24.0,8.4
LED Bulb,230,14.43,7.72,8.61
Television,230,97.22,4.41,3.79
Washing Machine,230,952.81,1.57,4.81
Microwave Oven,230,827.17,0.16,2.26
Geyser,230,2022.77,0.99,9.03
Laptop/Computer,230,373.84,5.34,2.62
Iron,230,1056.24,0.21,2.9
Fan,230,77.55,7.21,16.93
Air Conditioner,230,1664.54,5.14,49.63
Refrigerator,230,572.25,24.0,9.14
LED Bulb,230,10.34,5.93,6.15
Television,230,125.6,4.22,3.95
Washing Machine,230,586.07,1.4,3.37
Microwave Oven,230,1004.19,0.17,2.94
Geyser,230,2332.24,0.51,9.75
Laptop/Computer,230,121.11,4.63,2.71
Iron,230,1480.98,0.2,2.52
Fan,230,70.08,6.91,19.08
Air Conditioner,230,1797.05,4.38,47.96
Refrigerator,230,194.17,24.0,9.18
LED Bulb,230,7.57,4.85,7.81
Television,230,93.84,4.28,4.94
Washing Machine,230,858.26,1.65,3.66
Microwave Oven,230,840.52,0.21,2.21
Geyser,230,2081.52,0.79,8.65
Laptop/Computer,230,95.67,5.16,2.47
Iron,230,1277.98,0.19,2.74
Fan,230,73.46,7.67,20.35
Air Conditioner,230,1599.17,5.04,40.5
Refrigerator,230,714.74,24.0,9.18
LED Bulb,230,7.06,5.69,8.77
Television,230,149.06,3.75,3.24
Washing Machine,230,927.86,1.67,4.54
Microwave Oven,230,932.65,0.24,2.39
Geyser,230,2986.76,0.97,9.4
Laptop/Computer,230,222.34,5.73,2.85
Iron,230,1449.91,0.21,2.07
Fan,230,70.58,7.43,21.07
Air Conditioner,230,1877.26,5.53,40.69
Refrigerator,230,247.65,24.0,8.2
LED Bulb,230,9.53,5.3,7.4
Television,230,118.42,4.76,3.74
Washing Machine,230,998.37,1.4,4.22
Microwave Oven,230,855.13,0.16,2.49
Geyser,230,3725.01,1.42,8.61
Laptop/Computer,230,185.58,4.14,2.12
Iron,230,1426.86,0.18,2.37
Fan,230,85.45,7.56,18.79
Air Conditioner,230,1983.61,4.7,44.41
Refrigerator,230,295.81,24.0,9.37
